Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,85239,4,false,false,,OJGIM0112,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.63332626064532 43.057076970254769)
,,,,,,-1,-1,-1,,,85240,4,false,false,,OJGIM0113,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.633498447101958 43.057103031787214)
,,,,,,-1,-1,-1,,,85241,4,false,false,,OJGIM0114,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.633462073038568 43.057148257460796)
,,,,,,-1,-1,-1,,,85242,4,false,false,,OJGIM0115,Caseta con uso para almacenamiento de materiales. La puerta de entrada está deteriorada.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,59,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.63347463030302 43.057175202541451)
,,,,,,-1,-1,-1,,,85243,4,false,false,,OJGIM0116,Banco formado por traviesa de tren y piedras.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,3,14,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.633499003285204 43.057157057892169)
,,,,,,-1,-1,-1,,,85244,4,false,false,,OJGIM0117,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.633621609700957 43.057138369373781)
,,,,,,-1,-1,-1,,,85245,4,false,false,,OJGIM0118,"Fuente, incluida señal informativa de agua no potable. Sale agua de la captación que encharca la zona alrededor de la fuente.",2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,4,7,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.634615294601972 43.057042814512528)
,,,,,,-1,-1,-1,,,85946,4,false,false,,PEUIM00208,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,1,52,vigilancia de caza,false,false,POINT (-4.983702906780315 43.002697178337108)
,,,,,,-1,-1,-1,,,85246,4,false,false,,OJGIM0119,La base se encharca por el agua que escapa de la captación de la fuente.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.634664039769589 43.057006524727107)
,,,,,,-1,-1,-1,,,85247,4,false,false,,OJGIM0120,Muro que separa la zona de vivero de la carretera y de bancales de cota inferior.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,17,Equipamiento del área recreativa Vivero de Quintanilla del Rebollar,false,false,POINT (-3.633499003285204 43.057157057892169)
